time,topic,video,seconds,time
day 14,8.Trees,31.it 05 question on the minimum number of nodes i.mp4,950.78,0:15:50
day 14,8.Trees,32.gate 97 question on finding minimum number of n.mp4,1159.51,0:19:19
day 14,8.Trees,33.2014 gate question on balanced binary search tr.mp4,499.35,0:8:19
day 14,8.Trees,34.expression trees.mp4,536.53,0:8:56
day 15,8.Trees,35.gate 2014 question on expression tree.mp4,113.05,0:1:53
day 15,8.Trees,36.various tree representations.mp4,809.79,0:13:29
day 15,8.Trees,37.gate 2000 question on nested tree representatio.mp4,417.81,0:6:57
day 15,8.Trees,38.gate 2005 it question on guessing the root node.mp4,315.9,0:5:15
day 15,8.Trees,39.gate it 06 question on array representation of_.mp4,1571.73,0:26:11
day 15,8.Trees,40.correction to the above question.mp4,84.22,0:1:24
day 16,8.Trees,41.gate 2014 question on left most child and right.mp4,835.2,0:13:55
day 16,9.GRAPHS,1.introduction to graphs.mp4,583.08,0:9:43
day 16,9.GRAPHS,2.representation of graphs.mp4,595.22,0:9:55
day 16,9.GRAPHS,3.introduction of bfs and dfs.mp4,549.4,0:9:9
day 16,9.GRAPHS,6.bfs analysis on adjacency matrix implementation_.mp4,260.84,0:4:20
day 16,9.GRAPHS,7.breadth first traversal using bfs.mp4,507.61,0:8:27
day 16,9.GRAPHS,8.dfs algorithm.mp4,924.59,0:15:24
day 17,9.GRAPHS,9.analysis of dfs and dft.mp4,407.96,0:6:47
day 17,9.GRAPHS,10.gate 03 question on dfs.mp4,512.36,0:8:32
day 17,9.GRAPHS,11.gate it 08 question on dfs.mp4,437.91,0:7:17
day 17,9.GRAPHS,12.gate 2014 question on the depth of the dfs recu.mp4,318.44,0:5:18
day 17,9.GRAPHS,13.gate it 06 question on dfs on guessing the grap.mp4,411.56,0:6:51
day 17,10.Hashing,1.direct address table.mp4,515.8,0:8:35
day 17,10.Hashing,2.introduction to hashing.mp4,1063.47,0:17:43
day 17,10.Hashing,3.chaining.mp4,517.8,0:8:37
day 18,10.Hashing,4.gate 96 and 2014 questions on chaining.mp4,327.0,0:5:27
day 18,10.Hashing,5.gate 2014 question on chaining and probability.mp4,262.49,0:4:22
day 18,10.Hashing,6.gate 97 question on chaining and probability.mp4,397.85,0:6:37
day 18,10.Hashing,7.open addressing.mp4,1517.78,0:25:17
day 18,10.Hashing,8.linear probing.mp4,924.82,0:15:24
day 18,10.Hashing,9.2008 gate question on linear probing.mp4,475.46,0:7:55
day 19,10.Hashing,10.2008 it question on linear probing.mp4,223.81,0:3:43
day 19,10.Hashing,11.gate it 07 question on probability and hashing_.mp4,173.4,0:2:53
day 19,10.Hashing,12.gate 2010 question on probing and permutations_.mp4,689.41,0:11:29
day 19,10.Hashing,13.quadratic probing.mp4,1113.49,0:18:33
day 19,10.Hashing,14.double hashing.mp4,717.97,0:11:57
